112 425
0 1 43
0 2 1
0 3 1
1 2 22
1 9 806
1 14 188
1 17 3
1 18 1
1 19 1
1 28 265
1 41 1
1 45 100
1 46 189
1 51 5
1 91 1
1 102 774
2 3 821
2 9 1
2 11 1
2 14 1
2 17 1
2 21 1
2 22 1
2 23 1
2 24 518
2 25 1
2 26 2
2 27 23
2 31 6
2 34 77
2 36 950
2 41 1
2 42 1
2 45 7
2 50 1
2 51 9
2 54 1
2 66 842
2 73 1
2 83 61
2 93 194
2 97 2
2 98 1
2 102 1
2 104 207
2 105 1
2 111 586
3 9 1
3 10 36
3 18 4
3 41 263
3 43 898
3 51 29
3 85 1
4 5 1
4 89 1
5 6 1
5 17 1
5 27 273
5 32 240
5 39 3
5 43 1
6 7 362
6 32 1
6 51 29
6 52 1
6 55 1
7 15 2
7 17 12
7 21 1
7 37 671
7 38 3
7 51 1
7 70 1
7 75 1
7 87 1
7 106 1
8 9 13
9 12 1
9 17 647
9 24 67
9 25 1
9 26 1
9 39 395
9 40 11
9 42 1
9 59 635
9 60 2
9 61 1
9 62 1
9 89 1
10 11 279
10 12 1
10 50 631
11 40 1
11 63 1
11 69 772
11 98 736
11 104 1
12 17 2
12 18 14
12 43 177
12 50 13
12 87 5
12 88 2
12 102 1
12 104 110
13 14 3
13 15 1
13 16 1
13 17 216
13 18 1
13 102 26
14 16 4
14 17 238
14 25 1
14 36 3
14 37 28
14 59 139
14 68 426
14 71 77
14 105 1
15 17 92
15 32 1
15 38 1
15 43 1
15 48 18
15 75 160
15 76 1
15 79 3
15 88 9
15 104 10
16 68 208
17 21 2
17 22 147
17 24 1
17 25 63
17 26 1
17 27 1
17 28 310
17 31 4
17 32 1
17 34 54
17 35 12
17 36 1
17 37 1
17 38 1
17 43 11
17 44 712
17 50 1
17 51 30
17 52 1
17 54 140
17 65 12
17 66 967
17 67 1
17 70 1
17 72 1
17 77 1
17 80 1
17 82 18
17 83 36
17 84 1
17 85 67
17 86 61
17 87 1
17 88 1
17 89 4
17 93 1
17 98 1
17 102 1
17 103 1
17 104 1
18 21 1
18 29 1
18 34 241
18 43 92
18 44 666
18 50 1
18 51 9
18 53 699
18 54 1
18 60 2
19 20 1
19 21 64
19 22 1
19 23 26
19 24 4
19 25 258
19 26 8
19 27 14
20 43 81
20 79 7
20 94 314
20 108 1
21 28 1
21 43 796
21 48 71
21 50 194
21 51 1
22 45 1
22 94 7
23 43 77
23 47 1
23 51 1
23 59 1
23 69 50
23 105 1
24 36 113
24 43 3
24 47 1
24 49 8
24 68 23
24 75 1
24 76 199
24 87 3
24 103 42
24 104 1
24 108 2
25 30 2
25 41 1
25 46 1
25 48 1
25 51 1
25 59 347
25 77 1
25 88 1
25 104 1
26 43 143
26 51 1
26 56 2
26 68 3
26 79 1
26 80 1
26 104 3
27 43 2
27 52 1
27 54 1
27 63 129
27 68 42
27 76 3
27 79 1
27 80 1
27 87 31
27 96 201
27 103 1
28 29 3
28 30 607
28 31 1
28 32 793
28 33 1
28 34 1
28 35 137
28 44 2
28 89 1
28 92 16
29 58 1
29 74 1
29 79 1
30 51 1
30 79 1
30 84 1
30 92 1
31 32 1
31 41 485
31 43 411
31 51 37
31 79 18
31 86 917
31 103 3
31 104 2
31 108 3
32 51 1
32 52 2
32 70 17
32 100 185
33 76 1
33 84 21
33 104 1
33 107 1
34 51 330
34 54 3
34 107 51
35 48 14
35 51 1
35 71 1
35 104 38
36 43 97
36 55 1
36 87 148
37 38 776
37 47 1
37 57 1
37 58 80
37 59 3
37 72 1
37 103 1
38 39 265
38 40 22
38 41 70
38 51 1
38 104 1
39 43 193
39 103 1
40 56 1
41 42 456
41 43 977
42 51 368
42 56 1
42 79 3
42 90 12
43 44 132
43 48 1
43 59 1
43 63 1
43 66 60
43 70 90
43 80 1
43 81 716
43 83 1
43 98 43
43 99 1
43 100 3
44 45 158
44 50 1
44 102 3
45 52 1
45 73 1
46 104 2
47 48 79
47 49 1
48 50 1
48 76 88
48 88 106
48 104 1
49 51 1
49 59 175
49 68 39
50 51 1
50 52 2
50 53 1
50 54 1
50 78 1
50 102 13
50 104 1
51 54 191
51 57 1
51 59 1
51 66 1
51 67 39
51 68 2
51 101 1
51 106 4
52 56 1
53 54 364
53 73 115
53 89 1
53 102 249
54 68 214
54 70 1
54 72 30
54 75 548
54 78 17
55 70 394
57 75 249
59 65 1
59 70 1
59 71 1
59 72 1
59 104 10
60 71 1
60 76 1
60 101 3
61 104 7
62 71 996
63 64 7
63 65 717
65 84 1
65 87 215
65 103 1
66 72 88
66 75 1
66 102 19
67 76 343
67 87 24
68 70 7
68 73 9
68 75 594
68 84 26
70 75 746
70 87 6
70 102 315
70 105 8
71 73 2
72 80 147
72 105 2
73 76 32
73 103 7
75 76 2
75 77 1
76 80 836
76 92 2
76 106 11
78 79 112
79 81 83
79 83 11
79 109 1
79 110 2
80 81 1
80 106 1
81 94 913
81 98 1
81 104 1
83 87 1
84 104 29
88 106 443
89 92 1
89 99 46
92 95 2
92 96 173
96 106 2
100 110 143
103 104 712
104 105 163
105 108 3
