112 425
0 1 655
0 2 523
0 3 889
1 2 985
1 9 564
1 14 846
1 17 762
1 18 592
1 19 486
1 28 162
1 41 143
1 45 898
1 46 543
1 51 783
1 91 868
1 102 146
2 3 737
2 9 40
2 11 745
2 14 411
2 17 796
2 21 761
2 22 961
2 23 398
2 24 601
2 25 940
2 26 64
2 27 410
2 31 892
2 34 819
2 36 964
2 41 780
2 42 871
2 45 230
2 50 728
2 51 749
2 54 569
2 66 97
2 73 499
2 83 517
2 93 294
2 97 676
2 98 417
2 102 769
2 104 675
2 105 404
2 111 215
3 9 69
3 10 930
3 18 308
3 41 852
3 43 752
3 51 161
3 85 496
4 5 104
4 89 26
5 6 317
5 17 348
5 27 557
5 32 751
5 39 704
5 43 92
6 7 476
6 32 950
6 51 499
6 52 697
6 55 360
7 15 322
7 17 367
7 21 771
7 37 531
7 38 145
7 51 92
7 70 797
7 75 803
7 87 8
7 106 76
8 9 260
9 12 364
9 17 89
9 24 908
9 25 424
9 26 975
9 39 684
9 40 301
9 42 894
9 59 805
9 60 147
9 61 789
9 62 298
9 89 429
10 11 615
10 12 740
10 50 133
11 40 25
11 63 411
11 69 642
11 98 526
11 104 876
12 17 567
12 18 517
12 43 445
12 50 907
12 87 568
12 88 181
12 102 481
12 104 335
13 14 792
13 15 144
13 16 809
13 17 84
13 18 87
13 102 61
14 16 570
14 17 77
14 25 825
14 36 941
14 37 547
14 59 902
14 68 55
14 71 445
14 105 142
15 17 279
15 32 209
15 38 554
15 43 89
15 48 494
15 75 312
15 76 422
15 79 916
15 88 277
15 104 539
16 68 149
17 21 416
17 22 225
17 24 822
17 25 78
17 26 719
17 27 479
17 28 505
17 31 229
17 32 448
17 34 261
17 35 301
17 36 270
17 37 834
17 38 415
17 43 613
17 44 179
17 50 249
17 51 391
17 52 396
17 54 172
17 65 127
17 66 94
17 67 841
17 70 768
17 72 766
17 77 149
17 80 454
17 82 51
17 83 113
17 84 167
17 85 272
17 86 352
17 87 758
17 88 189
17 89 537
17 93 431
17 98 838
17 102 242
17 103 702
17 104 139
18 21 954
18 29 875
18 34 645
18 43 245
18 44 895
18 50 448
18 51 578
18 53 130
18 54 154
18 60 542
19 20 188
19 21 518
19 22 766
19 23 320
19 24 15
19 25 12
19 26 635
19 27 528
20 43 250
20 79 750
20 94 218
20 108 853
21 28 517
21 43 587
21 48 858
21 50 902
21 51 274
22 45 988
22 94 596
23 43 184
23 47 1000
23 51 786
23 59 278
23 69 545
23 105 885
24 36 660
24 43 197
24 47 814
24 49 938
24 68 127
24 75 292
24 76 111
24 87 815
24 103 558
24 104 95
24 108 818
25 30 706
25 41 898
25 46 837
25 48 802
25 51 25
25 59 582
25 77 99
25 88 602
25 104 971
26 43 174
26 51 914
26 56 884
26 68 773
26 79 916
26 80 779
26 104 484
27 43 843
27 52 355
27 54 191
27 63 932
27 68 444
27 76 864
27 79 673
27 80 977
27 87 809
27 96 527
27 103 719
28 29 629
28 30 447
28 31 100
28 32 403
28 33 444
28 34 748
28 35 173
28 44 237
28 89 954
28 92 465
29 58 599
29 74 857
29 79 378
30 51 721
30 79 985
30 84 84
30 92 562
31 32 788
31 41 370
31 43 925
31 51 188
31 79 10
31 86 142
31 103 842
31 104 324
31 108 551
32 51 576
32 52 105
32 70 481
32 100 868
33 76 288
33 84 638
33 104 910
33 107 752
34 51 740
34 54 317
34 107 438
35 48 378
35 51 818
35 71 331
35 104 560
36 43 943
36 55 134
36 87 249
37 38 404
37 47 297
37 57 521
37 58 888
37 59 220
37 72 600
37 103 87
38 39 547
38 40 712
38 41 229
38 51 266
38 104 293
39 43 206
39 103 816
40 56 876
41 42 521
41 43 455
42 51 246
42 56 359
42 79 373
42 90 240
43 44 800
43 48 649
43 59 610
43 63 773
43 66 948
43 70 238
43 80 42
43 81 812
43 83 339
43 98 234
43 99 782
43 100 931
44 45 61
44 50 719
44 102 530
45 52 30
45 73 280
46 104 217
47 48 767
47 49 214
48 50 733
48 76 400
48 88 866
48 104 938
49 51 281
49 59 338
49 68 795
50 51 307
50 52 741
50 53 950
50 54 648
50 78 59
50 102 811
50 104 724
51 54 715
51 57 698
51 59 543
51 66 524
51 67 108
51 68 927
51 101 90
51 106 315
52 56 852
53 54 732
53 73 593
53 89 562
53 102 532
54 68 20
54 70 749
54 72 714
54 75 547
54 78 598
55 70 595
57 75 235
59 65 223
59 70 469
59 71 846
59 72 806
59 104 996
60 71 709
60 76 252
60 101 216
61 104 960
62 71 248
63 64 472
63 65 940
65 84 143
65 87 273
65 103 674
66 72 986
66 75 56
66 102 691
67 76 692
67 87 279
68 70 477
68 73 241
68 75 986
68 84 844
70 75 2
70 87 297
70 102 850
70 105 354
71 73 372
72 80 441
72 105 147
73 76 12
73 103 969
75 76 840
75 77 240
76 80 914
76 92 215
76 106 69
78 79 99
79 81 534
79 83 999
79 109 372
79 110 638
80 81 680
80 106 408
81 94 990
81 98 547
81 104 36
83 87 843
84 104 265
88 106 225
89 92 982
89 99 327
92 95 56
92 96 897
96 106 841
100 110 139
103 104 225
104 105 128
105 108 395
