297 2359
0 1 1
0 2 20
0 3 150
0 4 17
0 5 112
0 6 121
0 7 61
0 8 1
0 9 419
1 10 27
1 115 3
1 12 1
1 84 1
1 129 1
1 7 165
1 130 1
1 131 57
1 72 606
1 74 559
2 67 1
2 151 322
2 152 1
2 153 966
2 154 154
2 155 1
2 156 47
2 157 10
2 158 74
2 12 2
2 86 1
2 118 1
2 4 1
2 159 1
2 160 3
2 161 3
2 162 949
2 163 4
2 164 188
2 165 12
2 166 1
2 167 1
2 168 1
2 169 113
2 184 1
2 185 1
2 125 2
2 8 3
2 173 1
2 186 27
2 175 594
2 176 1
2 177 764
2 178 1
2 179 1
2 180 204
2 181 1
2 182 13
2 183 1
3 151 57
3 154 768
3 155 60
3 12 10
3 117 1
3 159 1
3 160 1
3 161 1
3 162 9
3 168 8
3 195 1
3 125 1
3 173 27
3 186 2
3 196 57
3 178 130
3 179 84
3 180 1
3 182 288
3 197 1
3 189 1
4 151 825
4 154 1
4 155 19
4 2 677
4 118 4
4 159 1
4 160 1
4 161 1
4 162 143
4 168 1
4 195 20
4 172 326
4 173 1
4 174 1
4 196 5
4 178 98
4 179 3
4 180 19
4 182 1
4 197 266
4 189 343
5 10 1
5 11 14
5 12 1
5 3 22
5 13 1
5 14 1
5 8 1
6 27 195
6 50 1
6 34 32
6 23 1
6 35 1
6 47 9
6 48 278
6 43 35
6 46 1
6 72 3
6 88 4
6 94 1
6 25 1
6 73 108
6 74 26
6 77 1
6 75 1
7 1 1
7 2 2
7 3 2
7 6 4
7 59 1
7 73 1
8 102 1
8 108 3
8 235 1
8 3 1
8 4 909
8 213 1
8 5 15
8 193 1
8 14 184
8 103 851
8 214 18
8 36 1
9 108 3
9 236 1
9 4 2
9 213 1
9 218 1
9 5 1
9 7 214
9 103 1
9 24 1
10 102 1
10 208 1
10 138 1
10 124 4
10 142 1
10 13 1
10 14 1
11 12 3
11 118 10
11 3 1
11 13 2
11 14 2
12 16 23
12 151 24
12 152 74
12 153 28
12 154 1
12 155 150
12 156 1
12 157 1
12 158 1
12 2 1
12 84 78
12 117 261
12 3 676
12 159 182
12 160 1
12 161 1
12 162 1
12 163 11
12 164 132
12 165 21
12 166 1
12 167 1
12 168 14
12 168 1
12 169 1
12 170 426
12 171 1
12 172 247
12 173 173
12 174 1
12 175 1
12 176 13
12 177 197
12 178 1
12 179 1
12 180 8
12 181 996
12 182 165
12 183 1
13 6 130
13 34 957
13 209 1
13 23 1
13 35 1
13 47 1
13 48 1
13 43 894
13 46 1
13 88 1
13 73 198
13 74 1
13 77 72
13 75 36
14 114 1
14 11 1
14 12 1
14 86 1
14 118 1
14 3 58
14 4 47
14 13 136
14 75 1
15 16 385
15 4 2
15 17 1
15 18 4
15 19 1
15 20 172
15 21 17
15 22 1
15 23 75
15 24 1
15 25 1
15 26 1
16 113 1
16 1 1
16 114 1
16 92 13
16 115 1
16 116 1
16 12 8
16 2 4
16 84 1
16 117 87
16 118 1
16 119 91
16 98 203
16 120 4
16 19 6
16 22 1
16 73 324
17 41 699
17 22 723
17 23 258
17 53 1
17 44 50
18 4 49
18 71 71
18 15 1
18 17 165
18 14 40
18 23 1
18 35 1
18 47 549
18 43 1
18 51 1
18 72 225
18 73 1
18 74 5
18 75 433
18 76 4
19 17 79
19 70 2
19 20 1
19 59 205
19 22 98
