297 2359
0 1 153
0 2 571
0 3 221
0 4 308
0 5 399
0 6 788
0 7 644
0 8 159
0 9 1000
1 10 785
1 115 681
1 12 479
1 84 463
1 129 943
1 7 592
1 130 165
1 131 113
1 72 587
1 74 784
2 67 122
2 151 382
2 152 546
2 153 690
2 154 427
2 155 931
2 156 313
2 157 591
2 158 946
2 12 713
2 86 555
2 118 760
2 4 967
2 159 209
2 160 304
2 161 630
2 162 80
2 163 863
2 164 625
2 165 122
2 166 515
2 167 886
2 168 441
2 169 642
2 184 278
2 185 871
2 125 953
2 8 716
2 173 726
2 186 161
2 175 849
2 176 437
2 177 109
2 178 355
2 179 18
2 180 63
2 181 830
2 182 320
2 183 408
3 151 766
3 154 45
3 155 406
3 12 824
3 117 886
3 159 985
3 160 832
3 161 847
3 162 818
3 168 677
3 195 438
3 125 110
3 173 279
3 186 854
3 196 437
3 178 418
3 179 360
3 180 77
3 182 428
3 197 617
3 189 471
4 151 597
4 154 701
4 155 190
4 2 625
4 118 727
4 159 336
4 160 220
4 161 238
4 162 899
4 168 699
4 195 811
4 172 215
4 173 588
4 174 609
4 196 223
4 178 941
4 179 695
4 180 28
4 182 986
4 197 963
4 189 501
5 10 975
5 11 617
5 12 247
5 3 384
5 13 403
5 14 710
5 8 402
6 27 490
6 50 599
6 34 602
6 23 685
6 35 875
6 47 190
6 48 799
6 43 685
6 46 6
6 72 794
6 88 354
6 94 262
6 25 408
6 73 89
6 74 803
6 77 664
6 75 159
7 1 628
7 2 237
7 3 820
7 6 541
7 59 801
7 73 289
8 102 436
8 108 970
8 235 873
8 3 369
8 4 310
8 213 720
8 5 119
8 193 734
8 14 80
8 103 586
8 214 707
8 36 802
9 108 870
9 236 997
9 4 347
9 213 647
9 218 46
9 5 884
9 7 252
9 103 953
9 24 347
10 102 413
10 208 429
10 138 927
10 124 546
10 142 307
10 13 651
10 14 133
11 12 116
11 118 432
11 3 423
11 13 247
11 14 224
12 16 402
12 151 625
12 152 917
12 153 128
12 154 149
12 155 569
12 156 337
12 157 189
12 158 671
12 2 47
12 84 238
12 117 801
12 3 616
12 159 766
12 160 803
12 161 442
12 162 715
12 163 190
12 164 505
12 165 184
12 166 380
12 167 518
