4039 88234
0 1 101
0 2 550
0 3 791
0 4 798
0 5 935
0 6 801
0 7 791
0 8 893
0 9 173
0 10 877
0 11 839
0 12 42
0 13 832
0 14 142
0 15 645
0 16 240
0 17 964
0 18 855
0 19 335
0 20 498
0 21 693
0 22 509
0 23 587
0 24 531
0 25 367
0 26 407
0 27 946
0 28 542
0 29 940
0 30 552
0 31 539
0 32 705
0 33 687
0 34 749
0 35 968
0 36 759
0 37 178
0 38 8
0 39 329
0 40 970
0 41 996
0 42 950
0 43 730
0 44 440
0 45 783
0 46 692
0 47 303
0 48 549
0 49 636
0 50 38
0 51 94
0 52 213
0 53 557
0 54 373
0 55 451
0 56 208
0 57 897
0 58 546
0 59 15
0 60 421
0 61 646
0 62 82
0 63 45
0 64 796
0 65 226
0 66 251
0 67 12
0 68 116
0 69 243
0 70 525
0 71 46
0 72 817
0 73 487
0 74 665
0 75 478
0 76 763
0 77 652
0 78 300
0 79 164
0 80 540
0 81 225
0 82 992
0 83 622
0 84 680
0 85 413
0 86 451
0 87 545
0 88 648
0 89 911
0 90 424
0 91 15
0 92 194
0 93 902
0 94 987
0 95 500
0 96 756
0 97 673
0 98 942
0 99 802
0 100 916
0 101 663
0 102 775
0 103 645
0 104 953
0 105 128
0 106 506
0 107 887
0 108 764
0 109 692
0 110 314
0 111 522
0 112 790
0 113 830
0 114 143
0 115 201
0 116 866
0 117 465
0 118 546
0 119 392
0 120 326
0 121 132
0 122 375
0 123 572
0 124 156
0 125 544
0 126 323
0 127 421
0 128 927
0 129 19
0 130 544
0 131 190
0 132 523
0 133 332
0 134 720
0 135 672
0 136 962
0 137 831
0 138 910
0 139 646
0 140 402
0 141 294
0 142 694
0 143 258
0 144 380
0 145 997
0 146 739
0 147 115
0 148 22
0 149 771
0 150 408
0 151 751
0 152 544
0 153 938
0 154 5
0 155 115
0 156 246
0 157 736
0 158 829
0 159 997
0 160 841
0 161 558
0 162 795
0 163 211
0 164 641
0 165 165
0 166 568
0 167 937
0 168 762
0 169 512
0 170 872
0 171 806
0 172 672
0 173 459
0 174 626
0 175 943
0 176 863
0 177 778
0 178 608
0 179 128
0 180 457
0 181 242
0 182 820
0 183 304
0 184 278
0 185 953
0 186 802
0 187 632
0 188 24
0 189 239
0 190 765
0 191 39
0 192 279
0 193 681
0 194 377
0 195 688
0 196 957
0 197 855
0 198 791
0 199 922
0 200 839
0 201 300
0 202 883
0 203 349
0 204 682
0 205 711
0 206 38
0 207 126
0 208 408
0 209 908
0 210 247
0 211 839
0 212 227
0 213 593
0 214 521
0 215 781
0 216 760
0 217 435
0 218 61
0 219 289
0 220 712
0 221 266
0 222 693
0 223 567
0 224 798
0 225 732
0 226 168
0 227 563
0 228 258
0 229 788
0 230 666
0 231 563
0 232 364
0 233 309
0 234 777
0 235 315
0 236 749
0 237 192
0 238 775
0 239 833
0 240 984
0 241 446
0 242 242
0 243 450
0 244 255
0 245 409
0 246 377
0 247 955
0 248 363
0 249 374
0 250 40
0 251 816
0 252 387
0 253 994
0 254 685
0 255 758
0 256 321
0 257 812
0 258 484
0 259 735
0 260 545
0 261 12
0 262 435
0 263 529
0 264 29
0 265 991
0 266 172
0 267 619
0 268 832
0 269 566
0 270 225
0 271 746
0 272 443
0 273 412
0 274 540
0 275 869
0 276 979
0 277 4
0 278 321
0 279 293
0 280 321
0 281 542
0 282 685
0 283 41
0 284 541
0 285 618
0 286 613
0 287 947
0 288 964
0 289 146
0 290 301
0 291 18
0 292 84
0 293 839
0 294 381
0 295 668
0 296 210
0 297 686
0 298 464
0 299 108
0 300 950
0 301 807
0 302 113
0 303 778
0 304 844
0 305 593
0 306 317
0 307 513
0 308 195
0 309 801
0 310 975
0 311 352
0 312 245
0 313 912
0 314 30
0 315 910
0 316 833
0 317 358
0 318 545
0 319 403
0 320 575
0 321 125
0 322 555
0 323 982
0 324 766
0 325 598
0 326 551
0 327 179
0 328 171
0 329 413
0 330 286
0 331 805
0 332 819
0 333 725
0 334 832
0 335 424
0 336 87
0 337 753
0 338 785
0 339 397
0 340 293
0 341 633
0 342 768
0 343 218
0 344 58
0 345 228
0 346 609
0 347 766
1 48 513
1 53 491
1 54 306
1 73 222
1 88 900
1 92 518
1 119 376
1 126 441
1 133 168
1 194 218
1 236 129
1 280 496
1 299 52
1 315 148
1 322 87
1 346 740
2 20 797
2 115 453
2 116 457
2 149 796
2 226 64
2 312 130
2 326 479
2 333 284
2 343 552
3 9 13
3 25 233
3 26 60
3 67 199
3 72 658
3 85 771
3 122 402
3 142 559
3 170 816
3 188 864
3 200 10
3 228 83
3 274 427
3 280 717
3 283 193
3 323 934
4 78 877
4 152 490
4 181 959
4 195 413
4 218 617
4 273 548
4 275 858
4 306 850
4 328 732
5 87 608
5 122 914
5 156 16
5 158 439
5 169 929
5 180 261
5 187 313
5 204 802
5 213 122
5 235 744
5 315 770
5 316 929
6 89 935
6 95 126
6 147 258
6 219 303
6 319 559
7 22 531
7 31 87
7 38 880
7 65 782
7 87 512
7 103 369
7 129 807
7 136 129
7 168 588
7 213 458
7 246 563
7 291 864
7 304 549
7 308 436
7 315 720
7 322 583
7 339 715
7 340 644
7 347 673
8 91 320
8 110 399
8 193 980
8 201 177
8 245 431
8 259 199
8 264 930
9 21 446
9 25 160
9 26 706
9 30 563
9 56 412
9 66 983
9 67 915
9 69 788
9 72 568
9 75 973
9 79 642
9 85 486
9 105 617
9 113 51
9 119 491
9 122 522
9 128 326
9 133 137
9 134 96
9 141 573
9 142 800
9 148 932
9 156 906
9 161 524
9 169 779
9 170 270
9 176 758
9 185 396
9 186 751
9 188 318
9 199 729
9 200 767
9 203 763
9 224 326
9 231 80
9 232 352
9 252 736
9 258 778
9 271 546
9 272 681
9 276 262
9 277 47
9 280 443
9 285 258
9 291 300
9 295 209
9 297 169
9 304 863
9 315 629
9 322 929
9 323 363
9 329 734
9 334 819
9 341 899
9 342 651
10 67 133
10 142 85
10 169 369
10 200 552
10 277 929
10 285 188
10 291 119
10 323 436
10 332 714
13 21 606
13 26 666
13 56 803
13 59 481
13 65 977
13 67 509
13 82 847
