115 613
0 1 343
0 4 277
0 9 1
0 16 1
0 23 1
0 33 106
0 35 730
0 41 11
0 65 1
0 90 1
0 93 1
0 104 1
1 25 525
1 27 2
1 33 693
1 37 1
1 45 175
1 57 713
1 89 1
1 101 4
1 103 2
1 105 176
1 109 2
2 3 1
2 6 7
2 13 757
2 14 3
2 15 1
2 47 2
2 60 97
2 64 83
2 72 1
2 74 474
2 100 250
2 106 1
3 5 68
3 11 1
3 26 551
3 40 1
3 52 1
3 58 18
3 72 1
3 74 408
3 81 220
3 84 1
3 102 7
4 5 1
4 9 1
4 16 537
4 23 2
4 28 149
4 41 332
4 69 44
4 93 69
4 104 1
4 108 15
5 10 1
5 11 1
5 52 1
5 74 1
5 81 1
5 84 1
5 90 1
5 97 41
5 98 91
5 107 683
6 7 1
6 32 37
6 39 2
6 47 966
6 55 8
6 58 1
6 60 1
6 64 687
6 85 1
6 100 1
6 106 654
7 8 5
7 21 16
7 22 1
7 40 85
7 68 9
7 73 27
7 77 1
7 78 3
7 82 61
7 108 27
7 111 7
8 9 2
8 21 1
8 22 55
8 41 1
8 51 1
8 68 350
8 77 1
8 78 1
8 90 1
8 111 81
9 16 697
9 22 1
9 23 6
9 41 37
9 64 202
9 93 1
9 104 1
9 108 1
10 11 1
10 60 34
10 72 1
10 74 1
10 81 22
10 84 80
10 98 702
10 102 1
10 107 466
11 24 157
11 28 43
11 50 2
11 69 1
11 90 1
11 97 178
11 104 12
12 13 1
12 14 1
12 17 1
12 18 1
12 26 25
12 34 230
12 36 1
12 38 1
12 43 1
12 85 23
13 15 1
13 32 1
13 39 17
13 45 1
13 60 1
13 64 1
13 100 1
13 106 1
13 110 2
14 15 1
14 26 832
14 38 6
14 43 1
14 54 1
14 71 126
14 85 1
14 99 642
15 32 89
15 39 313
15 47 3
15 60 482
15 68 16
15 92 614
15 100 14
15 106 1
15 114 1
16 17 1
16 23 799
16 38 218
16 41 1
16 67 3
16 81 1
16 93 1
16 104 1
17 20 207
17 27 1
17 58 1
17 62 1
17 65 1
17 87 1
17 95 67
17 96 4
17 113 1
18 19 1
18 31 1
18 34 9
18 36 1
18 38 603
18 42 1
18 54 1
18 61 1
18 71 74
18 99 1
19 29 1
19 30 1
19 33 12
19 35 1
19 36 22
19 44 885
19 55 1
19 79 1
19 94 1
19 101 1
20 21 481
20 36 437
20 62 671
20 65 2
20 70 415
20 75 1
20 76 9
20 87 192
20 96 994
20 113 18
21 22 4
21 32 38
21 46 1
21 51 1
21 68 47
21 77 50
21 108 1
21 111 276
22 23 1
22 47 1
22 51 1
22 68 15
22 77 1
22 78 1
22 108 4
23 41 1
23 78 318
23 90 1
23 93 142
23 104 2
23 111 1
24 25 36
24 28 46
24 50 12
24 66 25
24 69 1
24 84 1
24 87 3
24 90 1
24 110 1
25 33 1
25 37 23
25 45 1
25 53 138
25 89 1
25 103 2
25 105 12
25 106 4
25 109 1
