115 613
0 1 334
0 4 146
0 9 960
0 16 962
0 23 211
0 33 833
0 35 817
0 41 520
0 65 34
0 90 885
0 93 923
0 104 465
1 25 768
1 27 991
1 33 368
1 37 421
1 45 25
1 57 724
1 89 593
1 101 968
1 103 205
1 105 795
1 109 273
2 3 599
2 6 729
2 13 775
2 14 564
2 15 552
2 47 884
2 60 630
2 64 32
2 72 315
2 74 576
2 100 394
2 106 367
3 5 909
3 11 686
3 26 816
3 40 435
3 52 278
3 58 582
3 72 37
3 74 913
3 81 309
3 84 97
3 102 471
4 5 346
4 9 648
4 16 70
4 23 460
4 28 521
4 41 150
4 69 732
4 93 776
4 104 183
4 108 311
5 10 869
5 11 296
5 52 793
5 74 659
5 81 869
5 84 301
5 90 816
5 97 518
5 98 926
5 107 506
6 7 395
6 32 495
6 39 662
6 47 426
6 55 299
6 58 88
6 60 906
6 64 667
6 85 785
6 100 421
6 106 25
7 8 355
7 21 985
7 22 585
7 40 961
7 68 174
7 73 779
7 77 253
7 78 4
7 82 982
7 108 650
7 111 505
8 9 436
8 21 408
8 22 578
8 41 975
8 51 343
8 68 363
8 77 794
8 78 444
8 90 611
8 111 374
9 16 583
9 22 7
9 23 293
9 41 899
9 64 639
9 93 333
9 104 660
9 108 824
10 11 319
10 60 365
10 72 377
10 74 556
10 81 489
10 84 889
10 98 146
10 102 784
10 107 965
11 24 551
11 28 856
11 50 248
11 69 930
11 90 85
11 97 66
11 104 279
12 13 323
12 14 470
12 17 585
12 18 6
12 26 463
12 34 153
12 36 103
12 38 773
12 43 463
12 85 269
13 15 545
13 32 937
13 39 445
13 45 995
13 60 47
13 64 567
13 100 57
13 106 781
13 110 587
14 15 386
14 26 286
14 38 69
14 43 631
14 54 863
14 71 411
14 85 718
14 99 473
15 32 746
15 39 122
15 47 135
15 60 929
15 68 519
15 92 826
15 100 128
15 106 597
15 114 189
16 17 768
16 23 97
16 38 157
16 41 425
16 67 365
16 81 672
16 93 943
16 104 726
17 20 108
17 27 645
17 58 98
17 62 212
17 65 950
17 87 947
17 95 236
17 96 639
17 113 752
18 19 166
18 31 937
18 34 536
18 36 802
18 38 252
18 42 289
18 54 362
18 61 791
18 71 830
18 99 871
19 29 554
19 30 736
19 33 277
19 35 520
19 36 546
19 44 643
19 55 276
19 79 295
19 94 451
19 101 291
20 21 296
20 36 284
20 62 886
20 65 384
20 70 498
20 75 454
20 76 327
20 87 675
20 96 534
20 113 229
21 22 952
21 32 427
21 46 527
21 51 86
21 68 206
21 77 231
21 108 894
21 111 544
22 23 622
22 47 709
22 51 823
22 68 436
22 77 762
22 78 80
22 108 523
23 41 446
23 78 627
23 90 428
23 93 701
23 104 760
23 111 169
24 25 294
24 28 139
24 50 409
24 66 995
24 69 306
24 84 626
24 87 429
24 90 722
24 110 383
25 33 647
25 37 425
25 45 744
25 53 862
25 89 668
25 103 635
25 105 916
25 106 301
25 109 593
26 27 253
26 34 840
26 38 131
26 42 710
26 43 855
26 61 390
26 85 790
27 56 975
27 62 783
27 63 277
27 65 155
27 70 83
27 76 699
27 95 686
27 96 525
28 38 120
28 50 564
28 69 244
28 78 577
28 90 472
28 113 712
29 30 268
29 35 828
29 42 498
29 55 701
29 79 395
29 80 674
29 82 378
29 91 12
29 94 104
29 101 264
30 35 686
30 44 344
30 50 110
30 55 171
30 79 144
30 82 810
30 94 54
30 101 574
30 109 846
31 32 401
31 34 551
31 43 15
31 54 403
31 55 262
31 61 830
31 71 657
31 79 397
31 85 750
31 99 380
32 39 322
32 47 572
32 49 101
32 64 174
32 100 856
32 106 315
33 37 516
33 45 956
33 89 851
33 103 286
33 105 212
33 109 105
34 35 294
34 42 192
34 54 446
34 61 255
34 71 707
34 94 808
34 99 322
35 44 23
35 55 103
35 79 856
35 92 216
35 94 803
35 101 727
36 37 550
36 43 632
36 58 913
36 59 975
37 45 460
37 80 603
37 89 476
37 95 291
37 103 809
37 105 788
37 109 214
38 39 573
38 43 850
38 54 135
38 71 150
38 85 345
39 47 280
39 54 546
39 60 352
39 82 648
39 100 188
39 106 862
40 41 532
40 51 828
40 52 312
40 72 463
40 74 252
40 81 123
40 98 256
40 102 210
40 107 153
41 67 759
41 93 20
41 104 14
42 43 734
42 57 757
42 63 560
43 61 998
43 70 851
43 79 522
43 85 25
44 45 929
44 48 805
44 57 251
44 66 980
44 75 671
44 86 328
44 91 354
44 112 968
45 62 201
45 89 132
45 103 635
45 105 489
45 109 148
46 47 159
46 49 679
46 53 533
46 67 701
46 73 843
46 83 467
46 88 892
46 110 236
46 111 826
46 114 993
47 60 61
47 61 739
47 64 959
47 100 890
48 49 69
48 53 610
48 57 131
48 66 791
48 75 220
48 86 952
48 91 71
48 92 208
48 96 545
48 98 391
49 53 950
49 67 698
49 73 778
49 83 483
49 84 867
49 88 117
49 110 775
49 114 792
50 51 72
50 68 748
50 69 323
50 78 449
50 90 287
51 68 936
51 77 265
51 78 239
51 101 19
51 108 21
51 111 159
52 53 961
52 72 238
52 74 519
52 84 989
52 98 873
52 102 658
52 112 409
53 67 355
53 73 344
53 83 596
53 86 526
53 88 676
53 110 13
53 114 371
54 55 413
54 61 607
54 71 201
54 99 816
55 79 53
55 89 445
55 94 135
55 101 180
56 57 342
56 62 874
56 65 824
56 70 615
56 76 193
56 87 439
56 95 724
56 96 702
56 106 35
57 75 585
57 86 113
57 91 20
57 92 101
57 112 527
58 59 117
58 63 471
58 88 454
58 97 801
58 101 824
58 114 993
59 60 359
59 63 909
59 66 296
59 76 813
59 97 572
59 113 742
60 64 172
60 71 905
60 106 568
61 62 494
61 71 108
61 92 198
61 99 286
62 70 740
62 76 651
62 87 474
62 95 346
62 105 464
63 64 806
63 65 691
63 97 331
63 109 999
63 112 373
64 100 260
64 106 240
64 111 156
65 66 559
65 70 544
65 87 336
65 96 801
65 113 286
66 75 170
66 76 382
66 86 544
66 91 344
66 92 462
66 112 670
67 68 440
67 73 153
67 83 100
67 88 579
67 104 920
67 110 843
67 114 243
68 78 188
68 108 674
68 111 205
69 70 647
69 83 663
69 88 70
69 90 782
69 91 334
69 95 399
70 76 180
70 95 838
70 103 860
70 113 532
71 72 721
71 99 734
72 74 890
72 81 268
72 102 869
72 104 486
72 107 922
73 74 359
73 77 530
73 83 183
73 88 664
