34 78
0 1 1
0 2 4
0 3 1
0 4 33
0 5 197
0 6 24
0 7 22
0 8 157
0 10 1
0 11 2
0 12 7
0 13 1
0 17 1
0 19 2
0 21 1
0 31 1
1 2 74
1 3 1
1 7 33
1 13 31
1 17 1
1 19 1
1 21 107
1 30 485
2 3 351
2 7 1
2 8 2
2 9 1
2 13 360
2 27 1
2 28 8
2 32 1
3 7 325
3 12 5
3 13 1
4 6 1
4 10 820
5 6 1
5 10 208
5 16 4
6 16 16
8 30 1
8 32 696
8 33 1
9 33 1
13 33 1
14 32 1
14 33 221
15 32 1
15 33 1
18 32 4
18 33 317
19 33 136
20 32 575
20 33 2
22 32 2
22 33 11
23 25 1
23 27 1
23 29 1
23 32 849
23 33 1
24 25 198
24 27 1
24 31 933
25 31 41
26 29 1
26 33 651
27 33 184
28 31 2
28 33 1
29 32 1
29 33 133
30 32 1
30 33 2
31 32 22
31 33 864
32 33 6
