34 78
0 1 793
0 2 31
0 3 781
0 4 366
0 5 615
0 6 213
0 7 949
0 8 149
0 10 367
0 11 41
0 12 440
0 13 567
0 17 474
0 19 737
0 21 156
0 31 338
1 2 138
1 3 54
1 7 892
1 13 175
1 17 71
1 19 444
1 21 77
1 30 396
2 3 174
2 7 945
2 8 371
2 9 195
2 13 486
2 27 830
2 28 679
2 32 172
3 7 887
3 12 210
3 13 38
4 6 882
4 10 228
5 6 144
5 10 911
5 16 364
6 16 671
8 30 890
8 32 951
8 33 69
9 33 428
13 33 786
14 32 947
14 33 73
15 32 233
15 33 325
18 32 698
18 33 484
19 33 138
20 32 30
20 33 607
22 32 540
22 33 501
23 25 282
23 27 139
23 29 335
23 32 817
23 33 597
24 25 996
24 27 39
24 31 728
25 31 125
26 29 683
26 33 75
27 33 626
28 31 859
28 33 600
29 32 843
29 33 851
30 32 181
30 33 273
31 32 359
31 33 216
32 33 185
