1490 19090
0 574 1
0 1434 1
0 643 608
0 22 20
0 1244 1
0 482 1
0 433 1
0 641 1
0 366 213
0 84 129
0 154 619
0 322 1
0 54 1
0 663 1
0 640 6
1 640 1
1 28 1
1 445 1
1 543 1
1 563 1
1 0 1
1 17 4
1 430 1
1 23 1
1 546 1
1 54 1
1 98 4
1 143 1
1 153 1
1 154 1
1 158 1
1 203 1
1 247 7
1 649 1
1 179 1
1 494 147
1 322 1
1 331 1
1 171 29
1 663 43
1 362 76
1 388 34
1 390 891
1 755 31
1 237 11
1 476 1
1 482 1
1 668 2
1 560 1
1 562 1
1 565 1
1 571 73
1 753 1
1 622 167
1 641 863
1 643 1
1 686 1
1 51 1
4 719 20
4 513 71
4 1436 16
5 736 1
7 386 80
7 39 1
7 563 1
7 263 3
7 240 2
7 392 1
7 54 1
7 179 455
7 277 1
7 566 1
7 603 77
7 511 1
7 571 1
7 573 6
7 590 240
7 595 99
7 753 1
7 633 2
7 266 8
8 640 255
8 54 58
8 209 544
8 154 31
8 144 2
8 740 1
8 995 1
8 755 2
9 476 497
9 154 1
9 574 2
9 643 168
9 534 996
9 755 1
9 640 1
9 686 337
9 54 1
9 471 381
9 1062 58
9 71 1
9 460 1
9 300 174
10 1054 1
11 563 1
11 95 1
11 154 1
12 71 541
12 98 1
12 439 1
12 322 1
12 143 309
12 149 1
12 154 4
12 296 1
12 179 1
12 54 12
12 479 1
12 728 1
12 565 1
12 641 3
12 640 3
13 453 586
13 569 1
13 54 1
13 817 6
13 98 1
13 117 786
13 143 1
13 149 1
13 1336 1
13 154 1
13 649 1
13 179 1
13 322 1
13 1050 29
13 118 344
13 1085 1
13 346 8
13 404 1
13 479 1
13 492 1
13 491 1
13 728 307
13 884 105
13 931 1
13 562 1
13 576 22
13 1324 89
13 633 187
13 675 107
13 641 1
13 640 795
13 534 2
13 643 1
13 311 73
13 1151 395
13 1460 1
13 725 19
13 71 129
13 300 1
13 755 8
13 546 1
13 153 1
13 296 1
13 186 125
13 459 455
13 494 27
13 386 99
13 393 18
13 433 1
13 440 4
13 188 1
13 668 1
13 590 1
13 1316 1
13 1436 758
13 482 4
13 1477 9
13 1478 1
13 1178 122
13 686 3
13 1040 2
13 797 1
14 154 185
14 54 1
14 560 1
14 26 1
14 153 485
14 232 1
14 608 24
14 247 926
14 494 2
14 639 4
14 161 1
14 12 4
14 28 107
14 546 5
14 39 1
14 263 3
14 84 1
14 114 1
14 117 430
14 129 218
14 209 113
14 649 1
14 258 1
14 322 103
14 663 11
14 350 1
14 735 3
14 388 285
14 390 1
14 440 622
14 281 1
14 448 1
14 479 1
14 188 1
14 491 77
14 728 52
14 513 73
14 590 16
14 753 1
14 622 1
14 640 80
14 641 225
14 686 2
14 698 1
14 155 18
14 71 1
14 64 537
14 313 1
14 480 55
14 563 1
14 1020 948
14 543 19
14 180 3
14 702 1
15 569 1
15 30 1
15 546 84
15 117 1
15 728 1
15 179 2
15 467 1
15 492 1
15 201 80
15 562 311
15 578 2
15 373 2
15 633 969
15 534 2
15 643 5
15 71 4
15 300 1
15 755 1
15 1359 1
15 1178 15
15 1244 43
15 1050 442
15 668 1
15 740 15
15 565 1
16 740 157
17 322 50
17 54 563
17 22 75
17 154 1
17 640 2
17 725 988
