1490 19090
0 574 404
0 1434 85
0 643 733
0 22 780
0 1244 617
0 482 878
0 433 250
0 641 847
0 366 397
0 84 676
0 154 254
0 322 511
0 54 232
0 663 667
0 640 977
1 640 564
1 28 749
1 445 857
1 543 805
1 563 218
1 0 580
1 17 147
1 430 420
1 23 770
1 546 129
1 54 503
1 98 851
1 143 231
1 153 539
1 154 623
1 158 444
1 203 230
1 247 230
1 649 302
1 179 495
1 494 588
1 322 989
1 331 147
1 171 909
1 663 456
1 362 928
1 388 107
1 390 314
1 755 565
1 237 80
1 476 525
1 482 588
1 668 637
1 560 270
1 562 210
1 565 759
1 571 639
1 753 934
1 622 106
1 641 350
1 643 530
1 686 320
1 51 163
4 719 421
4 513 91
4 1436 241
5 736 966
7 386 625
7 39 855
7 563 872
7 263 312
7 240 803
7 392 412
7 54 199
7 179 652
7 277 321
7 566 501
7 603 731
7 511 433
7 571 319
7 573 778
7 590 183
7 595 685
7 753 815
7 633 768
7 266 418
8 640 125
8 54 21
8 209 25
8 154 725
8 144 825
8 740 915
8 995 819
8 755 45
9 476 258
9 154 641
9 574 198
9 643 800
9 534 792
9 755 638
9 640 451
9 686 646
9 54 431
9 471 443
9 1062 253
9 71 375
9 460 901
9 300 604
10 1054 483
11 563 569
11 95 790
11 154 623
12 71 177
12 98 381
12 439 857
12 322 734
12 143 966
12 149 157
12 154 734
12 296 116
12 179 645
12 54 246
12 479 434
12 728 556
12 565 599
12 641 37
12 640 401
13 453 130
13 569 242
13 54 442
13 817 532
13 98 993
13 117 772
13 143 879
13 149 214
13 1336 852
13 154 933
13 649 733
13 179 892
13 322 355
13 1050 843
13 118 20
13 1085 252
13 346 835
13 404 177
13 479 109
13 492 296
13 491 738
13 728 103
13 884 671
13 931 533
13 562 770
13 576 633
13 1324 17
13 633 347
13 675 71
13 641 480
13 640 644
13 534 387
13 643 264
13 311 108
13 1151 475
13 1460 678
13 725 435
13 71 623
13 300 294
13 755 62
13 546 712
13 153 638
13 296 435
13 186 443
13 459 177
13 494 162
13 386 509
13 393 210
13 433 546
13 440 630
13 188 858
13 668 650
13 590 257
13 1316 77
13 1436 469
13 482 268
13 1477 834
13 1478 256
13 1178 206
13 686 657
13 1040 400
13 797 54
14 154 501
14 54 310
14 560 466
14 26 445
14 153 555
14 232 633
14 608 810
14 247 334
14 494 158
14 639 190
14 161 695
14 12 508
14 28 405
14 546 973
14 39 786
14 263 869
14 84 818
14 114 567
14 117 882
14 129 413
14 209 25
14 649 206
14 258 507
14 322 551
14 663 145
14 350 500
14 735 385
14 388 513
14 390 59
14 440 353
14 281 999
14 448 290
14 479 224
14 188 521
14 491 461
14 728 407
14 513 754
14 590 146
14 753 210
14 622 550
14 640 699
14 641 404
14 686 3
14 698 824
14 155 762
14 71 174
14 64 967
14 313 777
14 480 725
14 563 483
14 1020 802
14 543 30
14 180 902
14 702 833
15 569 370
15 30 609
15 546 177
15 117 269
15 728 960
15 179 71
15 467 197
15 492 895
15 201 227
15 562 587
15 578 620
15 373 378
15 633 116
15 534 105
15 643 207
15 71 559
15 300 940
15 755 28
15 1359 452
15 1178 250
15 1244 780
15 1050 397
15 668 53
15 740 892
15 565 827
16 740 986
17 322 871
17 54 561
17 22 733
17 154 309
17 640 3
17 725 994
17 1230 403
17 523 117
17 663 235
17 404 76
17 179 317
17 108 429
17 143 698
17 560 251
17 571 996
17 15 467
17 563 434
17 98 845
17 217 973
17 494 575
17 603 537
17 573 365
17 578 214
17 622 376
17 641 683
17 155 867
17 702 907
17 728 292
17 71 4
18 744 900
18 978 77
18 143 95
19 54 741
19 563 111
19 153 215
19 154 234
19 179 540
19 322 142
19 692 274
19 590 958
19 640 940
19 663 137
19 676 134
19 88 735
19 1208 864
20 1178 268
20 573 437
20 608 577
20 1244 127
20 1152 651
20 113 719
20 190 453
20 322 463
20 300 730
20 154 216
20 54 222
20 560 844
20 467 998
20 143 689
20 640 637
20 492 33
20 209 389
20 676 250
20 534 357
20 728 548
20 296 766
20 118 790
20 201 232
20 482 199
20 569 492
20 28 953
20 416 146
20 1088 82
20 685 245
20 674 930
20 724 908
20 641 810
20 186 386
20 0 652
20 217 1000
20 188 368
20 1050 918
20 1190 439
21 523 872
21 797 148
21 573 879
21 386 51
21 962 433
21 1436 421
21 23 774
21 296 106
21 322 423
21 755 813
21 405 544
21 433 126
21 482 403
21 188 547
21 499 579
21 614 895
21 641 547
21 725 415
21 492 788
22 23 483
22 797 363
22 54 784
22 101 929
22 106 303
22 153 351
22 154 170
22 169 96
22 179 405
22 494 686
22 390 789
22 401 327
22 433 614
22 562 815
22 569 350
22 574 277
22 608 680
22 609 543
22 622 901
22 640 67
22 641 956
22 534 864
22 643 90
22 740 583
22 736 827
22 1379 451
22 26 230
22 989 113
22 676 36
23 22 24
23 22 58
23 23 933
23 797 257
23 797 769
23 54 994
23 54 481
23 101 191
23 101 275
23 106 503
23 106 651
23 153 932
23 153 645
23 154 367
23 154 999
23 169 761
23 169 66
23 494 157
23 494 952
23 390 819
23 390 540
23 401 181
23 401 315
23 433 407
23 433 309
23 562 487
23 562 144
23 569 921
23 569 399
23 609 650
23 609 647
23 622 364
23 622 490
23 640 98
23 640 708
23 641 367
23 641 843
23 534 794
23 534 365
23 643 163
23 643 96
23 740 515
23 740 509
23 88 611
23 88 995
23 962 995
23 962 207
25 154 299
26 247 412
26 584 173
26 153 648
26 753 528
26 154 621
26 77 584
26 54 949
26 143 468
26 640 29
26 322 38
26 169 26
26 1478 744
26 622 852
27 452 501
27 433 512
27 113 546
27 340 917
27 451 166
27 154 931
27 640 217
27 1269 125
27 740 192
27 209 673
28 167 360
28 309 465
28 408 350
28 219 51
28 603 561
28 543 307
28 588 2
28 161 404
28 643 845
28 201 840
28 649 784
28 14 944
28 143 660
28 370 898
28 166 247
28 661 275
28 431 847
28 608 176
28 350 530
28 641 549
28 247 219
28 590 454
28 534 718
28 267 768
28 30 11
28 54 127
28 154 507
28 686 665
28 640 600
28 492 932
28 449 667
28 711 677
28 179 389
28 698 291
28 692 230
28 386 365
28 44 898
28 322 823
28 725 493
30 1250 976
30 149 256
30 98 711
30 373 193
30 491 107
30 573 130
30 648 326
30 507 733
30 725 120
30 201 157
30 676 633
30 861 892
30 797 332
30 641 558
30 188 919
30 492 934
30 540 826
30 34 476
30 296 109
30 404 936
30 440 352
30 154 151
30 459 162
30 346 294
30 348 710
30 460 413
30 393 416
30 755 724
30 728 133
30 534 641
30 562 441
30 1062 812
30 935 118
30 972 374
30 1462 749
30 96 223
31 1436 355
31 543 407
31 563 555
31 154 704
31 1111 614
32 1069 95
33 1027 803
33 158 948
33 552 506
34 441 253
34 728 116
34 640 579
34 296 506
34 153 136
34 54 636
35 54 940
35 154 957
