105 441
0 1 1
0 2 1
0 3 10
0 4 5
0 5 1
0 6 1
1 3 1
1 5 848
1 6 123
2 4 1
2 5 1
2 7 1
3 5 1
3 8 453
3 9 1
3 10 1
3 11 1
3 12 33
3 13 151
3 14 1
3 15 1
3 16 692
3 17 170
3 18 332
3 19 139
3 20 2
3 21 2
3 22 48
3 23 1
3 24 2
3 25 271
3 26 111
3 27 1
4 5 31
4 6 1
4 28 1
4 29 21
4 30 1
4 31 1
5 6 1
5 7 1
6 7 1
6 10 44
6 12 1
6 18 206
6 22 1
6 25 551
6 29 648
7 14 1
7 30 256
7 58 1
7 71 697
7 85 1
8 9 116
8 10 412
8 11 44
8 12 1
8 13 8
8 14 912
8 20 560
8 21 5
8 22 3
8 23 1
8 24 1
8 26 279
8 27 94
8 32 1
8 33 10
8 35 1
8 37 1
8 40 1
8 41 1
8 42 351
8 43 49
8 44 37
8 45 1
8 46 1
9 11 343
9 12 1
9 14 19
9 20 1
9 24 1
9 27 65
9 41 51
9 45 1
9 47 1
9 48 11
9 49 1
9 50 1
9 51 3
9 52 22
10 11 215
10 12 6
10 15 2
10 16 2
10 19 33
10 21 169
10 33 38
10 35 1
10 37 1
10 38 1
10 39 1
10 55 1
11 12 193
11 13 1
11 14 1
11 17 35
11 20 1
11 21 1
11 22 1
11 26 1
11 27 11
11 29 1
11 45 1
11 47 7
11 50 1
11 56 1
12 13 331
12 14 43
12 15 1
12 17 1
12 18 17
12 23 1
12 24 57
12 32 2
12 33 1
12 36 41
12 38 1
12 39 2
12 40 1
12 41 1
12 44 108
12 46 262
12 47 27
12 54 2
12 55 1
13 17 1
13 29 18
13 32 143
13 40 1
13 42 1
13 43 35
13 44 1
13 47 121
13 57 470
14 25 1
14 26 1
14 58 1
15 16 1
15 55 1
17 47 2
19 55 1
19 56 1
19 77 1
20 24 238
20 40 316
20 48 138
20 49 283
20 53 438
20 57 283
21 23 1
22 25 1
22 40 1
22 52 120
23 27 1
23 32 1
23 33 53
23 47 1
23 54 21
24 26 1
24 40 1
24 47 3
24 53 1
25 40 1
26 40 1
26 45 1
26 47 1
26 53 597
27 40 2
27 41 1
27 47 1
27 54 42
28 66 1
28 72 1
30 31 1
30 58 12
30 66 837
30 67 1
30 70 1
30 73 1
30 74 1
30 75 511
30 76 6
30 77 320
30 79 13
30 80 4
30 82 1
30 83 1
30 84 26
30 86 1
30 93 1
30 99 3
31 49 1
31 73 301
31 74 890
31 75 1
31 76 4
31 77 78
31 78 14
31 82 1
31 91 15
32 33 1
33 37 20
33 38 1
33 39 3
33 47 5
34 35 41
34 36 1
34 37 1
34 38 1
34 39 1
35 36 9
35 37 107
35 38 1
35 39 10
35 40 1
35 43 68
35 44 1
36 41 1
36 47 1
37 38 19
37 47 1
38 39 329
39 40 1
39 42 1
40 41 149
40 42 298
40 44 1
40 45 519
40 47 262
40 53 3
40 54 142
41 47 302
41 54 30
42 43 25
42 47 1
43 56 58
45 47 1
46 47 1
46 102 36
47 54 154
48 49 2
48 57 4
49 57 1
49 58 5
49 72 1
49 76 1
50 58 1
51 52 1
51 58 1
51 64 369
51 65 61
51 69 1
52 58 59
52 64 1
53 76 9
56 57 1
58 64 3
58 65 5
58 68 1
58 69 1
58 77 1
58 85 1
59 60 1
59 61 17
59 62 1
59 63 1
59 99 1
60 62 173
60 63 8
60 84 1
60 86 1
60 99 14
61 86 1
61 95 1
61 101 1
62 63 35
62 84 1
62 99 1
62 100 323
63 99 1
64 65 337
64 66 435
64 67 303
64 68 1
64 69 1
64 70 1
65 67 9
65 68 20
65 69 153
65 85 2
66 67 2
66 70 1
66 72 564
66 73 1
66 74 605
66 76 1
66 80 89
66 84 11
66 85 162
66 86 7
66 88 63
66 89 760
66 90 1
66 93 2
66 96 1
66 97 416
66 99 2
66 100 234
67 103 7
67 104 1
68 71 69
69 104 2
70 71 2
70 72 1
70 75 1
70 90 6
71 72 1
71 73 285
71 74 1
71 75 1
71 76 1
71 77 582
71 78 5
71 79 81
71 80 1
71 81 1
71 82 1
71 83 1
72 73 19
72 74 151
72 75 1
72 76 289
72 78 1
72 79 3
72 80 2
72 82 1
72 84 1
72 85 5
72 86 503
72 87 7
72 88 8
72 89 1
72 90 1
72 91 6
72 92 168
73 74 5
73 75 1
73 82 943
73 83 20
73 84 1
73 86 1
73 89 1
73 92 1
73 93 1
73 94 16
73 95 1
73 96 13
73 97 1
73 98 1
73 99 324
73 100 1
74 75 4
74 78 1
74 79 354
74 82 1
74 84 121
74 87 1
74 88 629
74 91 13
74 98 1
74 99 2
75 76 1
75 77 32
75 78 1
75 79 366
75 82 1
75 83 659
75 84 3
75 91 4
75 92 31
76 77 19
76 82 946
76 83 695
76 84 1
76 86 44
79 84 128
79 91 327
79 100 1
81 84 1
81 86 51
81 97 1
82 84 50
83 84 1
83 87 544
83 100 47
84 86 44
84 87 34
84 88 1
84 89 1
84 94 14
84 96 27
84 97 1
84 99 30
84 100 1
84 101 709
86 89 1
86 93 1
86 97 5
86 100 1
86 101 16
87 98 1
88 89 26
90 91 6
90 99 1
91 98 1
91 100 29
93 94 7
93 99 2
93 102 1
94 95 1
94 96 1
94 101 6
94 102 439
95 102 1
96 97 14
96 100 1
98 100 402
99 100 466
100 101 554
103 104 15
