105 441
0 1 82
0 2 303
0 3 390
0 4 306
0 5 444
0 6 218
1 3 933
1 5 808
1 6 675
2 4 110
2 5 51
2 7 512
3 5 162
3 8 357
3 9 898
3 10 675
3 11 508
3 12 415
3 13 935
3 14 737
3 15 250
3 16 527
3 17 125
3 18 549
3 19 914
3 20 291
3 21 682
3 22 339
3 23 688
3 24 807
3 25 42
3 26 712
3 27 228
4 5 382
4 6 219
4 28 811
4 29 935
4 30 588
4 31 330
5 6 104
5 7 210
6 7 161
6 10 474
6 12 11
6 18 94
6 22 316
6 25 474
6 29 820
7 14 851
7 30 802
7 58 429
7 71 378
7 85 639
8 9 102
8 10 347
8 11 40
8 12 81
8 13 688
8 14 339
8 20 653
8 21 59
8 22 372
8 23 261
8 24 211
8 26 59
8 27 813
8 32 650
8 33 962
8 35 1000
8 37 704
8 40 409
8 41 672
8 42 28
8 43 284
8 44 274
8 45 471
8 46 798
9 11 858
9 12 937
9 14 906
9 20 969
9 24 764
9 27 522
9 41 647
9 45 581
9 47 5
9 48 631
9 49 90
9 50 656
9 51 245
9 52 870
10 11 730
10 12 376
10 15 248
10 16 720
10 19 47
10 21 462
10 33 79
10 35 963
10 37 219
10 38 127
10 39 290
10 55 937
11 12 255
11 13 172
11 14 168
11 17 819
11 20 7
11 21 8
11 22 551
11 26 852
11 27 438
11 29 146
11 45 821
11 47 690
11 50 951
11 56 742
12 13 656
12 14 167
12 15 864
12 17 960
12 18 956
12 23 36
12 24 689
12 32 531
12 33 250
12 36 112
12 38 413
12 39 470
12 40 737
12 41 586
12 44 159
12 46 184
12 47 569
12 54 9
12 55 547
13 17 157
13 29 195
13 32 133
13 40 467
13 42 492
13 43 149
13 44 229
13 47 838
13 57 367
14 25 10
14 26 676
14 58 774
15 16 493
15 55 841
17 47 247
19 55 368
19 56 921
19 77 125
20 24 117
20 40 921
20 48 73
20 49 255
20 53 174
20 57 282
21 23 213
22 25 883
22 40 787
22 52 119
23 27 792
23 32 797
23 33 429
23 47 420
23 54 172
24 26 222
24 40 465
24 47 480
24 53 470
25 40 378
26 40 438
26 45 73
26 47 759
26 53 994
27 40 317
27 41 354
27 47 620
27 54 925
28 66 259
28 72 381
30 31 137
30 58 211
30 66 219
30 67 831
30 70 48
30 73 347
30 74 721
30 75 635
30 76 881
30 77 539
30 79 125
30 80 388
30 82 575
30 83 574
30 84 632
30 86 344
30 93 286
30 99 958
31 49 967
31 73 804
31 74 318
31 75 112
31 76 313
31 77 951
31 78 515
31 82 770
31 91 35
32 33 704
33 37 548
33 38 368
33 39 597
33 47 285
34 35 62
34 36 748
34 37 722
34 38 569
34 39 326
35 36 187
35 37 805
35 38 897
35 39 46
35 40 986
35 43 488
35 44 637
36 41 40
36 47 934
37 38 795
37 47 568
38 39 427
39 40 65
39 42 574
40 41 883
40 42 634
40 44 971
40 45 611
40 47 57
40 53 198
40 54 706
41 47 141
41 54 368
42 43 409
42 47 225
43 56 161
45 47 56
46 47 22
46 102 930
47 54 270
48 49 448
48 57 244
49 57 531
49 58 804
49 72 664
49 76 656
50 58 477
51 52 204
51 58 725
51 64 144
51 65 104
51 69 20
52 58 464
52 64 318
53 76 558
56 57 196
58 64 600
58 65 340
58 68 326
58 69 305
58 77 670
58 85 164
59 60 549
59 61 153
59 62 735
59 63 845
59 99 177
60 62 810
60 63 750
60 84 883
60 86 753
60 99 554
61 86 870
61 95 31
61 101 949
62 63 111
62 84 697
62 99 465
62 100 517
63 99 206
64 65 163
64 66 199
64 67 562
64 68 557
64 69 2
64 70 932
65 67 556
65 68 480
65 69 984
65 85 429
66 67 149
66 70 716
66 72 217
66 73 509
66 74 786
66 76 676
66 80 885
66 84 650
66 85 878
66 86 738
66 88 255
66 89 98
66 90 330
66 93 89
66 96 956
66 97 642
66 99 172
66 100 367
67 103 212
67 104 810
68 71 910
69 104 578
70 71 166
70 72 703
70 75 99
70 90 40
71 72 9
71 73 96
71 74 631
71 75 881
71 76 880
71 77 179
71 78 703
71 79 784
71 80 229
71 81 175
71 82 747
71 83 586
72 73 234
72 74 72
72 75 14
72 76 604
72 78 956
72 79 948
72 80 447
72 82 608
72 84 583
72 85 382
72 86 51
72 87 413
72 88 4
72 89 287
72 90 346
72 91 881
72 92 730
73 74 408
73 75 329
73 82 989
73 83 159
73 84 675
73 86 620
73 89 449
73 92 453
73 93 485
73 94 307
73 95 35
73 96 35
73 97 52
73 98 548
73 99 249
73 100 237
74 75 650
74 78 777
74 79 300
74 82 193
74 84 159
74 87 414
74 88 145
74 91 435
74 98 504
74 99 818
75 76 207
75 77 374
75 78 4
75 79 979
75 82 164
75 83 83
75 84 213
75 91 191
75 92 392
76 77 491
76 82 257
76 83 139
76 84 514
76 86 383
79 84 853
79 91 934
79 100 493
81 84 404
81 86 271
81 97 497
82 84 223
83 84 315
83 87 662
83 100 317
84 86 470
84 87 390
84 88 58
84 89 623
84 94 600
84 96 693
84 97 747
84 99 834
84 100 745
84 101 101
86 89 71
86 93 226
86 97 440
86 100 258
86 101 457
87 98 6
88 89 990
90 91 574
90 99 277
91 98 796
91 100 251
93 94 506
93 99 136
93 102 306
94 95 339
94 96 40
94 101 187
94 102 941
95 102 230
96 97 202
96 100 186
98 100 404
99 100 817
100 101 235
103 104 568
